token	corpus size	all contexts size	frequency	co-frequency	specificity
leading	120157	30086	15	7	1.40
approach	120157	30086	15	7	1.40
One	120157	30086	35	13	1.40
Einstein	120157	30086	35	13	1.40
flame	120157	30086	12	6	1.39
heat	120157	30086	12	6	1.39
correct	120157	30086	12	6	1.39
reflection	120157	30086	12	6	1.39
reaction	120157	30086	12	6	1.39
n	120157	30086	137	40	1.39
last	120157	30086	25	10	1.38
nature	120157	30086	25	10	1.38
would	120157	30086	91	28	1.37
four	120157	30086	39	14	1.37
particles	120157	30086	32	12	1.37
will	120157	30086	150	43	1.37
off	120157	30086	61	20	1.36
line	120157	30086	50	17	1.36
both	120157	30086	43	15	1.34
And	120157	30086	29	11	1.33
This	120157	30086	164	46	1.33
Andromeda	120157	30086	4	3	1.33
spans	120157	30086	4	3	1.33
estimated	120157	30086	4	3	1.33
Galaxy	120157	30086	4	3	1.33
blocks	120157	30086	4	3	1.33
deeply	120157	30086	4	3	1.33
boat	120157	30086	4	3	1.33
pressed	120157	30086	4	3	1.33
curve	120157	30086	4	3	1.33
Surface	120157	30086	4	3	1.33
microwaves	120157	30086	4	3	1.33
kerosene	120157	30086	4	3	1.33
absorbed	120157	30086	4	3	1.33
Usually	120157	30086	4	3	1.33
incorrectly	120157	30086	4	3	1.33
clearly	120157	30086	4	3	1.33
bend	120157	30086	4	3	1.33
coloured	120157	30086	4	3	1.33
receptors	120157	30086	4	3	1.33
Faraday	120157	30086	4	3	1.33
Previously	120157	30086	4	3	1.33
merely	120157	30086	4	3	1.33
strikes	120157	30086	4	3	1.33
rod	120157	30086	4	3	1.33
Zellem	120157	30086	4	3	1.33
isn	120157	30086	4	3	1.33
task	120157	30086	4	3	1.33
bubble	120157	30086	4	3	1.33
slit	120157	30086	4	3	1.33
nighttime	120157	30086	4	3	1.33
Within	120157	30086	4	3	1.33
recommended	120157	30086	4	3	1.33
avoid	120157	30086	4	3	1.33
tourism	120157	30086	4	3	1.33
buses	120157	30086	4	3	1.33
reflectors	120157	30086	4	3	1.33
Spontaneous	120157	30086	4	3	1.33
mixture	120157	30086	4	3	1.33
CAPTION	120157	30086	4	3	1.33
Court	120157	30086	4	3	1.33
sensor	120157	30086	4	3	1.33
array	120157	30086	4	3	1.33
Lane	120157	30086	4	3	1.33
Union	120157	30086	4	3	1.33
verse	120157	30086	4	3	1.33
Antonyms	120157	30086	4	3	1.33
Gothic	120157	30086	4	3	1.33
lu	120157	30086	4	3	1.33
handed	120157	30086	4	3	1.33
builders	120157	30086	4	3	1.33
mariners	120157	30086	4	3	1.33
iron	120157	30086	4	3	1.33
steel	120157	30086	4	3	1.33
Danger	120157	30086	4	3	1.33
keeper	120157	30086	4	3	1.33
Factsheet	120157	30086	4	3	1.33
earliest	120157	30086	4	3	1.33
like	120157	30086	116	34	1.33
very	120157	30086	47	16	1.33
t	120157	30086	148	42	1.32
law	120157	30086	19	8	1.31
seen	120157	30086	40	14	1.31
distances	120157	30086	26	10	1.29
refraction	120157	30086	59	19	1.29
India	120157	30086	16	7	1.28
exactly	120157	30086	16	7	1.28
caused	120157	30086	16	7	1.28
enough	120157	30086	16	7	1.28
mean	120157	30086	16	7	1.28
electronic	120157	30086	16	7	1.28
increase	120157	30086	16	7	1.28
standard	120157	30086	16	7	1.28
Dec	120157	30086	16	7	1.28
end	120157	30086	48	16	1.27
do	120157	30086	95	28	1.26
few	120157	30086	23	9	1.25
therefore	120157	30086	13	6	1.25
allows	120157	30086	13	6	1.25
physicists	120157	30086	13	6	1.25
certain	120157	30086	13	6	1.25
pinhole	120157	30086	13	6	1.25
made	120157	30086	60	19	1.25
must	120157	30086	45	15	1.24
rainbow	120157	30086	7	4	1.24
ordinary	120157	30086	7	4	1.24
compared	120157	30086	7	4	1.24
intense	120157	30086	7	4	1.24
concentric	120157	30086	7	4	1.24
causes	120157	30086	7	4	1.24
borealis	120157	30086	7	4	1.24
risk	120157	30086	7	4	1.24
reducing	120157	30086	7	4	1.24
indicating	120157	30086	7	4	1.24
driving	120157	30086	7	4	1.24
weak	120157	30086	7	4	1.24
horizontally	120157	30086	7	4	1.24
meanings	120157	30086	7	4	1.24
rule	120157	30086	7	4	1.24
dangerous	120157	30086	7	4	1.24
England	120157	30086	7	4	1.24
Rock	120157	30086	7	4	1.24
Smeaton	120157	30086	7	4	1.24
only	120157	30086	104	30	1.23
For	120157	30086	96	28	1.23
moved	120157	30086	10	5	1.23
think	120157	30086	10	5	1.23
Plant	120157	30086	10	5	1.23
wrote	120157	30086	10	5	1.23
Descartes	120157	30086	10	5	1.23
Maxwell	120157	30086	10	5	1.23
allowed	120157	30086	10	5	1.23
disorders	120157	30086	10	5	1.23
inches	120157	30086	10	5	1.23
photon	120157	30086	34	12	1.23
two	120157	30086	125	35	1.22
laser	120157	30086	125	35	1.22
per	120157	30086	53	17	1.22
high	120157	30086	57	18	1.21
normal	120157	30086	38	13	1.21
set	120157	30086	38	13	1.21
scientists	120157	30086	20	8	1.21
appear	120157	30086	20	8	1.21
given	120157	30086	20	8	1.21
vehicle	120157	30086	20	8	1.21
See	120157	30086	81	24	1.20
oembed	120157	30086	2	2	1.20
JPL	120157	30086	2	2	1.20
neighboring	120157	30086	2	2	1.20
instantaneously	120157	30086	2	2	1.20
Fontaine	120157	30086	2	2	1.20
parsec	120157	30086	2	2	1.20
Ring	120157	30086	2	2	1.20
lightsee	120157	30086	2	2	1.20
lighta	120157	30086	2	2	1.20
religion	120157	30086	2	2	1.20
strongly	120157	30086	2	2	1.20
Corpussee	120157	30086	2	2	1.20
supporters	120157	30086	2	2	1.20
pub	120157	30086	2	2	1.20
Sadly	120157	30086	2	2	1.20
lively	120157	30086	2	2	1.20
autobiographical	120157	30086	2	2	1.20
uncanny	120157	30086	2	2	1.20
Maggie	120157	30086	2	2	1.20
acceleration	120157	30086	2	2	1.20
